line,line_group,total_ridership,total_transfers,station_count
R,yellow,3146312,122973,41
1,red,2578672,72082,37
F,orange,2509200,148703,44
B,orange,2406952,90451,36
C,blue,2406548,63102,38
2,red,2380119,75860,46
M,orange,2168056,84402,34
N,yellow,2163248,65460,28
Q,yellow,2118130,78164,29
D,orange,2080349,64127,35
5,green,2052250,88131,43
6,green,2035135,59438,35
7,purple,2009284,104634,21
A,blue,2004520,56049,43
3,red,1972628,49828,31
W,yellow,1904545,44624,21
4,green,1868905,84850,26
E,blue,1624253,116148,19
L,grey,1016461,37487,22
J,brown,1002365,73770,28
Z,brown,848012,68571,18
G,lime,745375,19984,20
S,shuttle,586210,5827,10
110 St,other,132853,2955,3
SIR,other,46319,11218,2
Manhattan,other,32110,8987,1
Roosevelt,other,27896,4953,1
