stop_id_u,lat_u,lon_u,stop_id_v,lat_v,lon_v,distance_m,travel_time_seconds,borough_u,borough_v,speed_ms
101N,40.889248,-73.898583,103N,40.884667,-73.90087,544.4570179433665,101.81818181818181,Bronx,Bronx,5.347345711943778
101S,40.889248,-73.898583,103S,40.884667,-73.90087,544.4570179433665,90.0,Bronx,Bronx,6.049522421592961
103N,40.884667,-73.90087,104N,40.878856,-73.904834,727.0303630778203,90.96256684491979,Bronx,Bronx,7.992632445358753
103S,40.884667,-73.90087,104S,40.878856,-73.904834,727.0303630778203,90.0,Bronx,Bronx,8.078115145309114
104N,40.878856,-73.904834,106N,40.874561,-73.909831,636.0777329180133,90.0,Bronx,Manhattan,7.067530365755704
104S,40.878856,-73.904834,106S,40.874561,-73.909831,636.0777329180133,90.0,Bronx,Manhattan,7.067530365755704
106N,40.874561,-73.909831,107N,40.869444,-73.915279,730.467382875252,90.0,Manhattan,Manhattan,8.116304254169467
106S,40.874561,-73.909831,107S,40.869444,-73.915279,730.467382875252,90.0,Manhattan,Manhattan,8.116304254169467
107N,40.869444,-73.915279,108N,40.864621,-73.918822,613.4907533879237,89.68253968253968,Manhattan,Manhattan,6.840693356360919
107S,40.869444,-73.915279,108S,40.864621,-73.918822,613.4907533879237,60.0,Manhattan,Manhattan,10.224845889798729
108N,40.864621,-73.918822,109N,40.860531,-73.925536,724.9946457198654,90.0,Manhattan,Manhattan,8.05549606355406
108S,40.864621,-73.918822,109S,40.860531,-73.925536,724.9946457198654,90.0,Manhattan,Manhattan,8.05549606355406
109N,40.860531,-73.925536,110N,40.855225,-73.929412,674.0617619283463,72.01058201058201,Manhattan,Manhattan,9.360593167116638
109S,40.860531,-73.925536,110S,40.855225,-73.929412,674.0617619283463,90.0,Manhattan,Manhattan,7.4895751325371815
110N,40.855225,-73.929412,111N,40.849505,-73.933596,726.8964030329055,90.0,Manhattan,Manhattan,8.076626700365617
110S,40.855225,-73.929412,111S,40.849505,-73.933596,726.8964030329055,91.16814159292035,Manhattan,Manhattan,7.973140510844334
111N,40.849505,-73.933596,112N,40.840556,-73.940133,1136.9037933997724,120.0,Manhattan,Manhattan,9.474198278331437
111S,40.849505,-73.933596,112S,40.840556,-73.940133,1136.9037933997724,121.80530973451327,Manhattan,Manhattan,9.333778600274215
