geoid,name,county,tract,population,commuters,median_income
36061000100,Census Tract 1; New York County; New York,061,000100,0,0,0
36061000201,Census Tract 2.01; New York County; New York,061,000201,2666,748,45582
36061000202,Census Tract 2.02; New York County; New York,061,000202,7001,2861,34710
36061000500,Census Tract 5; New York County; New York,061,000500,0,0,0
36061000600,Census Tract 6; New York County; New York,061,000600,10751,3404,25655
36061000700,Census Tract 7; New York County; New York,061,000700,8674,7014,184730
36061000800,Census Tract 8; New York County; New York,061,000800,8713,3603,28607
36061000900,Census Tract 9; New York County; New York,061,000900,1824,1385,222167
36061001001,Census Tract 10.01; New York County; New York,061,001001,1696,865,109352
36061001002,Census Tract 10.02; New York County; New York,061,001002,5989,1634,23658
36061001200,Census Tract 12; New York County; New York,061,001200,4157,1793,91154
36061001300,Census Tract 13; New York County; New York,061,001300,4861,3406,199576
36061001401,Census Tract 14.01; New York County; New York,061,001401,3165,1499,89873
36061001402,Census Tract 14.02; New York County; New York,061,001402,3286,1858,46615
36061001501,Census Tract 15.01; New York County; New York,061,001501,7721,3818,119293
36061001502,Census Tract 15.02; New York County; New York,061,001502,8623,6786,160466
36061001600,Census Tract 16; New York County; New York,061,001600,7720,3680,46860
36061001800,Census Tract 18; New York County; New York,061,001800,6948,3776,74485
36061002000,Census Tract 20; New York County; New York,061,002000,4689,1175,26031
36061002100,Census Tract 21; New York County; New York,061,002100,7275,4469,250001
36061002201,Census Tract 22.01; New York County; New York,061,002201,6748,2850,35700
36061002202,Census Tract 22.02; New York County; New York,061,002202,2521,1734,121389
36061002400,Census Tract 24; New York County; New York,061,002400,4311,1001,17922
36061002500,Census Tract 25; New York County; New York,061,002500,5162,1172,21949
36061002601,Census Tract 26.01; New York County; New York,061,002601,4592,1772,35625
36061002602,Census Tract 26.02; New York County; New York,061,002602,3632,2215,71907
36061002700,Census Tract 27; New York County; New York,061,002700,1203,439,134583
36061002800,Census Tract 28; New York County; New York,061,002800,6364,3461,52305
36061002901,Census Tract 29.01; New York County; New York,061,002901,1113,2,11406
36061002902,Census Tract 29.02; New York County; New York,061,002902,3885,1445,0
36061003001,Census Tract 30.01; New York County; New York,061,003001,3868,2944,90222
36061003002,Census Tract 30.02; New York County; New York,061,003002,3062,1763,68382
