station_complex_id,name,borough,lat,lon,lines,num_lines,total_ridership,avg_ridership_per_hour,pop_density_tract,median_income,commuters_tract,population_500m,bus_stops_250m,bus_stops_500m
611,Times Sq-42 St,Manhattan,40.75731,-73.986755,"N,Q,R,W,S,1,2,3,7",9,302813,204.05,0.0,0,0,0,4,29
447,Flushing-Main St,Queens,40.7596,-73.83003,7,1,233567,158.57,0.0,0,0,0,23,42
616,74-Broadway,Queens,40.746643,-73.891335,7,1,204667,131.37,0.0,0,0,0,10,21
610,Grand Central-42 St,Manhattan,40.751778,-73.976845,"S,4,5,6,7",5,198947,134.24,0.0,0,0,0,13,43
607,34 St-Herald Sq,Manhattan,40.749718,-73.98782,"B,D,F,M,N,Q,R,W",8,197172,131.36,0.0,0,0,0,8,34
602,14 St-Union Sq,Manhattan,40.735737,-73.99057,"L,N,Q,R,W,4,5,6",8,174070,115.13,0.0,0,0,0,11,22
614,59 St-Columbus Circle,Manhattan,40.768295,-73.981735,"A,B,C,D,1",5,155800,105.7,0.0,0,0,0,8,34
617,Atlantic Av-Barclays Ctr,Brooklyn,40.68436,-73.97767,"B,D,N,Q,R,2,3,4,5",9,155364,99.46,0.0,0,0,0,8,42
628,Fulton St,Manhattan,40.710373,-74.00758,"A,C,J,Z,2,3,4,5",8,145812,99.06,0.0,0,0,0,12,57
613,Lexington Av,Manhattan,40.76266,-73.967255,"N,R,W",3,140922,93.64,0.0,0,0,0,13,38
397,86 St,Manhattan,40.77949,-73.95559,"4,5,6",3,138529,93.6,0.0,0,0,0,5,21
636,Jay St-MetroTech,Brooklyn,40.692337,-73.98734,"A,C,F,R",4,136259,90.06,0.0,0,0,0,13,34
164,34 St-Penn Station,Manhattan,40.75229,-73.99339,"A,C,E",3,135211,89.43,0.0,0,0,0,8,23
624,Chambers St,Manhattan,40.71411,-74.00858,"A,C",2,134886,92.32,0.0,0,0,0,26,48
279,Sutphin Blvd-Archer Av-JFK Airport,Queens,40.700485,-73.80797,"E,J,Z",3,134660,84.96,0.0,0,0,0,18,32
310,96 St,Manhattan,40.79392,-73.97232,"1,2,3",3,134119,88.41,0.0,0,0,0,13,28
318,34 St-Penn Station,Manhattan,40.750374,-73.99106,"1,2,3",3,132823,88.49,0.0,0,0,0,8,28
278,Jamaica Center-Parsons/Archer,Queens,40.70215,-73.80111,"E,J,Z",3,131414,85.11,0.0,0,0,0,17,35
609,Bryant Pk,Manhattan,40.754223,-73.984566,"B,D,F,M",4,131053,84.93,0.0,0,0,0,10,32
623,Canal St,Manhattan,40.71953,-74.00019,"J,N,Q,R,W,Z,6",7,128451,88.53,0.0,0,0,0,6,14
